n,t,Term
Donald D. Voisinet,TechniciansMicrocomputer Applications;AutoCADComputer-Aided Engineering Drawing;CADDMicrocomputer Applications;Computer-Aided Engineering Drawing;Engineering Drawing;AutoCAD mechanical lab manualMechanical;CADMechanical CAD Lab ManualComputer-Aided;TechniciansComputer-Aided Drafting,"['techniciansmicrocomput', 'applic', 'autocadcomputer-aid', 'engin', 'draw', 'caddmicrocomput', 'applic', 'computer-aid', 'engin', 'draw', 'engin', 'draw', 'autocad', 'mechan', 'lab', 'manualmechan', 'cadmechan', 'cad', 'lab', 'manualcomputer-aid', 'technicianscomputer-aid', 'draft']"
Nobuyuki Yagi,proposed method;news item;video segment;pitch type;baseball broadcast video;news video;principal video object;representative video;video clip;video content,"['propos', 'method', 'news', 'item', 'video', 'segment', 'pitch', 'type', 'basebal', 'broadcast', 'video', 'news', 'video', 'princip', 'video', 'object', 'repres', 'video', 'video', 'clip', 'video', 'content']"
Yasushi Yagi,proposed method;gait recognition;image sequence;range image;earlier method;new method;previous method;simple method;gait feature;classification method,"['propos', 'method', 'gait', 'recognit', 'imag', 'sequenc', 'rang', 'imag', 'earlier', 'method', 'new', 'method', 'previou', 'method', 'simpl', 'method', 'gait', 'featur', 'classif', 'method']"
Tetsuya Yagi,silicon retina;virtual object;Virtual Environment;collision warning system;gesture recognition system;present system;visual nervous system;orientation chip;dialog environment;Neuromorphic VLSI vision system,"['silicon', 'retina', 'virtual', 'object', 'virtual', 'environ', 'collis', 'warn', 'system', 'gestur', 'recognit', 'system', 'present', 'system', 'visual', 'nervou', 'system', 'orient', 'chip', 'dialog', 'environ', 'neuromorph', 'vlsi', 'vision', 'system']"
Thomas Steiner,media item;media gallery;media content;social network;multiple social network;Twitter media gallery;appropriate media type;different media gallery style;empirically optimized media item;fine-grained media content,"['media', 'item', 'media', 'galleri', 'media', 'content', 'social', 'network', 'multipl', 'social', 'network', 'twitter', 'media', 'galleri', 'appropri', 'media', 'type', 'differ', 'media', 'galleri', 'style', 'empir', 'optim', 'media', 'item', 'fine-grain', 'media', 'content']"
Teng Joon Lim,cognitive radio;cooperative spectrum;channel estimation;channel information;channel state information;channel statistic;unknown parameter;OFDMAccurate channel estimate;channel covariance feedback;channel covariance matrix,"['cognit', 'radio', 'cooper', 'spectrum', 'channel', 'estim', 'channel', 'inform', 'channel', 'state', 'inform', 'channel', 'statist', 'unknown', 'paramet', 'ofdmaccur', 'channel', 'estim', 'channel', 'covari', 'feedback', 'channel', 'covari', 'matrix']"
Jianzhong Qiao,event stream;multi-core processor;SVClustering-SVR algorithm;event sequence;event sequence semantic;infrequent event sequence;account event sequence semantic;approximate algorithm;event type;existing event prediction algorithm,"['event', 'stream', 'multi-cor', 'processor', 'svclustering-svr', 'algorithm', 'event', 'sequenc', 'event', 'sequenc', 'semant', 'infrequ', 'event', 'sequenc', 'account', 'event', 'sequenc', 'semant', 'approxim', 'algorithm', 'event', 'type', 'exist', 'event', 'predict', 'algorithm']"
Radek Kuchta,main feature;automation network;case study;electronic circuit;wireless network;Case StudyThis paper;industrial automation;basic function;High SchoolsThis paper;basic module,"['main', 'featur', 'autom', 'network', 'case', 'studi', 'electron', 'circuit', 'wireless', 'network', 'case', 'studythi', 'paper', 'industri', 'autom', 'basic', 'function', 'high', 'schoolsthi', 'paper', 'basic', 'modul']"
Bao-Hua Zhao,sensor network;wireless sensor network;network lifetime;simulation result;original problem;energy consumption;challenging problem;exposed terminal problem;different target;heterogeneous sensor network,"['sensor', 'network', 'wireless', 'sensor', 'network', 'network', 'lifetim', 'simul', 'result', 'origin', 'problem', 'energi', 'consumpt', 'challeng', 'problem', 'expos', 'termin', 'problem', 'differ', 'target', 'heterogen', 'sensor', 'network']"
Ghassem Jaberipur,decimal arithmetic;decimal multiplier;decimal arithmetic algorithm;parallel decimal multiplier;redundant format;redundant representation;decimal CORDIC scheme;decimal array;decimal array multipliersHardware support;decimal carry-save adder,"['decim', 'arithmet', 'decim', 'multipli', 'decim', 'arithmet', 'algorithm', 'parallel', 'decim', 'multipli', 'redund', 'format', 'redund', 'represent', 'decim', 'cordic', 'scheme', 'decim', 'array', 'decim', 'array', 'multipliershardwar', 'support', 'decim', 'carry-sav', 'adder']"
Shidong Zhou,antenna system;antenna cluster;antenna topology;antenna element;power consumption;antenna pattern;multiple antenna;network-side antenna element;random antenna layout;MIMO capacity,"['antenna', 'system', 'antenna', 'cluster', 'antenna', 'topolog', 'antenna', 'element', 'power', 'consumpt', 'antenna', 'pattern', 'multipl', 'antenna', 'network-sid', 'antenna', 'element', 'random', 'antenna', 'layout', 'mimo', 'capac']"
Massimo Fornasier,numerical experiment;compressive algorithm;discrete free-discontinuity problem;inpainting problem;inverse problem;matrix completion problem;nonsmooth problem;total variation minimization;numerical example;numerical solution,"['numer', 'experi', 'compress', 'algorithm', 'discret', 'free-discontinu', 'problem', 'inpaint', 'problem', 'invers', 'problem', 'matrix', 'complet', 'problem', 'nonsmooth', 'problem', 'total', 'variat', 'minim', 'numer', 'exampl', 'numer', 'solut']"
Marcos Craizer,curvature scale space;curvature estimation method;curvature estimator;projective curvature;projective curvature estimator;projective length;affine curvature;affine curvature estimator;bi-dimensional curvature motion;curvature estimation,"['curvatur', 'scale', 'space', 'curvatur', 'estim', 'method', 'curvatur', 'estim', 'project', 'curvatur', 'project', 'curvatur', 'estim', 'project', 'length', 'affin', 'curvatur', 'affin', 'curvatur', 'estim', 'bi-dimension', 'curvatur', 'motion', 'curvatur', 'estim']"
B. F. Caviness,theoretical computing time;elementary function;symbolic mathematical computation;special function;Computer Algebra;Gaussian integer;Euclidean algorithm;new division algorithm;new gcd algorithm;new god algorithm,"['theoret', 'comput', 'time', 'elementari', 'function', 'symbol', 'mathemat', 'comput', 'special', 'function', 'comput', 'algebra', 'gaussian', 'integ', 'euclidean', 'algorithm', 'new', 'divis', 'algorithm', 'new', 'gcd', 'algorithm', 'new', 'god', 'algorithm']"
Wen Wu,road sign;object fingerprint;video sequence;new framework;proposed approach;text detection;MC MFoM classifier;binary MFoM classifier;Semi-supervised learning;small amount,"['road', 'sign', 'object', 'fingerprint', 'video', 'sequenc', 'new', 'framework', 'propos', 'approach', 'text', 'detect', 'mc', 'mfom', 'classifi', 'binari', 'mfom', 'classifi', 'semi-supervis', 'learn', 'small', 'amount']"
Salah Eddine Elayoubi,wireless network;admission control;elastic flow;overall performance;LTE system;base station;mobile network;network architecture;elastic traffic;analytical model,"['wireless', 'network', 'admiss', 'control', 'elast', 'flow', 'overal', 'perform', 'lte', 'system', 'base', 'station', 'mobil', 'network', 'network', 'architectur', 'elast', 'traffic', 'analyt', 'model']"
E Fachini,maximum number;systolic Y-tree automaton;Cross-intersecting couple;systolic binary tree automaton;L-systemsC-tree systolic automataComparisons;Y-tree systolic automataNonacceptability criterion;binary systolic tree automataClasses;deterministic systolic automaton;systolic Y-tree automataRecursive bound;systolic tree,"['maximum', 'number', 'systol', 'y-tree', 'automaton', 'cross-intersect', 'coupl', 'systol', 'binari', 'tree', 'automaton', 'l-systemsc-tre', 'systol', 'automatacomparison', 'y-tree', 'systol', 'automatanonaccept', 'criterion', 'binari', 'systol', 'tree', 'automataclass', 'determinist', 'systol', 'automaton', 'systol', 'y-tree', 'automatarecurs', 'bound', 'systol', 'tree']"
Martin Volk,parallel treebanks;supervised method;parallel treebanksThis paper;alignment constraint;phrase alignment;MT system;prepositional phrase;unsupervised method;parallel corpus;parallel sentence,"['parallel', 'treebank', 'supervis', 'method', 'parallel', 'treebanksthi', 'paper', 'align', 'constraint', 'phrase', 'align', 'mt', 'system', 'preposit', 'phrase', 'unsupervis', 'method', 'parallel', 'corpu', 'parallel', 'sentenc']"
Uriel G. Rothblum,current state;partition problem;Markov chain;open problem;priority rule;objective function;expected utility;exponential utility function;Markov decision problem;relaxed-size problem,"['current', 'state', 'partit', 'problem', 'markov', 'chain', 'open', 'problem', 'prioriti', 'rule', 'object', 'function', 'expect', 'util', 'exponenti', 'util', 'function', 'markov', 'decis', 'problem', 'relaxed-s', 'problem']"
Theodore S. Norvell,Teaching Machine;data structure;Teaching Machine project;new capability;new feature;new scripting capability;necessary visualizer plugins;program animation tool;visualization technique;MCHPSO scheduling algorithm,"['teach', 'machin', 'data', 'structur', 'teach', 'machin', 'project', 'new', 'capabl', 'new', 'featur', 'new', 'script', 'capabl', 'necessari', 'visual', 'plugin', 'program', 'anim', 'tool', 'visual', 'techniqu', 'mchpso', 'schedul', 'algorithm']"
Jean-Yves Le Boudec,network coding;reputation system;LTE network;location privacy;network throughput;ATM network;cellular network;network delay;network layer;network performance,"['network', 'code', 'reput', 'system', 'lte', 'network', 'locat', 'privaci', 'network', 'throughput', 'atm', 'network', 'cellular', 'network', 'network', 'delay', 'network', 'layer', 'network', 'perform']"
F. Sorbello,Clifford algebra;proposed system;multi-agent system;authentication system;experimental result;multi-platform agent system;recognition system;system performance;Clifford product;neural network,"['clifford', 'algebra', 'propos', 'system', 'multi-ag', 'system', 'authent', 'system', 'experiment', 'result', 'multi-platform', 'agent', 'system', 'recognit', 'system', 'system', 'perform', 'clifford', 'product', 'neural', 'network']"
Stéphan Jourdan,load instruction;recovery mechanism;instruction-fetch bandwidth;next instruction block;memory access;functional unit;square root;branch prediction structure;prediction rate;available instruction parallelism,"['load', 'instruct', 'recoveri', 'mechan', 'instruction-fetch', 'bandwidth', 'next', 'instruct', 'block', 'memori', 'access', 'function', 'unit', 'squar', 'root', 'branch', 'predict', 'structur', 'predict', 'rate', 'avail', 'instruct', 'parallel']"
"David C. Munson, Jr.",Radar imaging;high-resolution spectral estimation;synthetic aperture radar;edge detection;mainlobe resolution;sidelobe artifact;2-D synthetic aperture radar;3-D SAR imaging;3-D SAR imaging technique;ISAR imaging,"['radar', 'imag', 'high-resolut', 'spectral', 'estim', 'synthet', 'apertur', 'radar', 'edg', 'detect', 'mainlob', 'resolut', 'sidelob', 'artifact', '2-d', 'synthet', 'apertur', 'radar', '3-d', 'sar', 'imag', '3-d', 'sar', 'imag', 'techniqu', 'isar', 'imag']"
Jan Tretmans,model-based testing;test case;formal method;test theory;conformance testing;test suite;implementation relation;Pairwise testing;testing theory;new test generation algorithm,"['model-bas', 'test', 'test', 'case', 'formal', 'method', 'test', 'theori', 'conform', 'test', 'test', 'suit', 'implement', 'relat', 'pairwis', 'test', 'test', 'theori', 'new', 'test', 'gener', 'algorithm']"
Branislav Jaramaz,calibration dataset;US image plane;US probe;cup orientation;position sensor;perspective projection;Physical Location;calibration method;calibration target;robust calibration,"['calibr', 'dataset', 'us', 'imag', 'plane', 'us', 'probe', 'cup', 'orient', 'posit', 'sensor', 'perspect', 'project', 'physic', 'locat', 'calibr', 'method', 'calibr', 'target', 'robust', 'calibr']"
Jan Marco Leimeister,idea competition;virtual community;cancer patient;user collaboration;idea quality;ideas competition;idea contributor;mobile phone;future research;strategic importance,"['idea', 'competit', 'virtual', 'commun', 'cancer', 'patient', 'user', 'collabor', 'idea', 'qualiti', 'idea', 'competit', 'idea', 'contributor', 'mobil', 'phone', 'futur', 'research', 'strateg', 'import']"
Janet M. Coggan,consumer web siteHealth sitings;medical matrixHealth sitings;Dr. Koop;Dr. Weil;AliceHealth sitingsHealth oasis;American red cross;HealthLink PlusWomen;Internet advice;InternetHarvard man;Mayo Clinic,"['consum', 'web', 'sitehealth', 'site', 'medic', 'matrixhealth', 'site', 'dr.', 'koop', 'dr.', 'weil', 'alicehealth', 'sitingshealth', 'oasi', 'american', 'red', 'cross', 'healthlink', 'pluswomen', 'internet', 'advic', 'internetharvard', 'man', 'mayo', 'clinic']"
Alan R. Hevner,software development;data warehouse;software estimation;software project;software testing;hospital discharge data;agile software development;next-generation software engineering;software artifact;software developer,"['softwar', 'develop', 'data', 'warehous', 'softwar', 'estim', 'softwar', 'project', 'softwar', 'test', 'hospit', 'discharg', 'data', 'agil', 'softwar', 'develop', 'next-gener', 'softwar', 'engin', 'softwar', 'artifact', 'softwar', 'develop']"
Christopher Bailey-Kellogg,protein family;protein structure;parent protein;target protein;new protein;protein engineer;protein fragment;protein sequence;experimental data;automated protein,"['protein', 'famili', 'protein', 'structur', 'parent', 'protein', 'target', 'protein', 'new', 'protein', 'protein', 'engin', 'protein', 'fragment', 'protein', 'sequenc', 'experiment', 'data', 'autom', 'protein']"
